                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.27464,                0.03392,                0.22472,                0.77109,                0.90366,                0.94441,                0.96169,                0.71578,                0.90804,                0.94899,                0.95758,                 0.6213,                0.88528,                 1.7562,                0.55857,                 0.8709,              0.0012476,              0.0012476,              0.0012476
                     40,                0.28211,                0.02801,                0.22604,                 0.7663,                0.88797,                0.92502,                0.94866,                0.70889,                0.91094,                0.93624,                0.95403,                0.63659,                0.85538,                 1.8778,                0.60975,                0.85497,              0.0012278,              0.0012278,              0.0012278
                     41,                0.26322,                0.04046,                0.21116,                0.76574,                0.91337,                0.95423,                0.97402,                0.71834,                0.91118,                0.95195,                0.96797,                0.62005,                0.84223,                 1.4086,                0.52669,                0.85997,               0.001208,               0.001208,               0.001208
                     42,                0.25203,                0.03028,                0.20264,                0.76551,                0.89005,                0.95652,                0.95393,                0.68223,                0.90943,                0.94211,                 0.9566,                0.61278,                  0.861,                 1.8135,                   2.74,                0.86423,              0.0011882,              0.0011882,              0.0011882
                     43,                0.27215,                0.03177,                0.20793,                0.75776,                0.90692,                0.94508,                0.95019,                0.70424,                0.90589,                0.94279,                0.95138,                0.62354,                0.80525,                 1.8429,                 14.822,                 0.8429,              0.0011684,              0.0011684,              0.0011684
                     44,                0.25209,                0.03957,                0.19926,                0.76776,                0.92454,                0.95318,                0.96716,                0.71348,                0.92906,                0.95652,                0.95972,                0.62493,                0.81937,                 1.7491,                 1.6066,                 0.8517,              0.0011486,              0.0011486,              0.0011486
                     45,                 0.2498,                0.03589,                0.20005,                0.78034,                0.91669,                0.95687,                0.97481,                0.72768,                0.92108,                0.96145,                0.97839,                0.64291,                0.82149,                 1.6142,                0.53534,                0.85073,              0.0011288,              0.0011288,              0.0011288
                     46,                0.24113,                0.02439,                0.19332,                0.77677,                0.92015,                0.94931,                0.97023,                 0.7104,                0.91793,                0.94702,                0.95991,                0.64701,                0.78855,                  1.814,                0.54346,                 0.8427,               0.001109,               0.001109,               0.001109
                     47,                0.23635,                0.01895,                 0.1942,                0.76384,                0.90545,                 0.9611,                0.97209,                 0.7146,                0.90252,                0.95652,                0.96764,                 0.6435,                0.82489,                 1.8506,                0.67016,                0.85114,              0.0010892,              0.0010892,              0.0010892
                     48,                  0.229,                0.01532,                0.18848,                 0.7747,                0.93855,                0.95652,                0.97176,                0.71706,                0.93901,                0.95652,                0.96643,                0.64424,                0.79221,                 1.9808,                 1.1267,                0.84732,              0.0010694,              0.0010694,              0.0010694
                     49,                0.23162,                0.01403,                0.18857,                0.77256,                0.90692,                0.93593,                 0.9419,                0.69325,                0.92274,                0.95195,                0.96907,                0.62642,                0.82963,                 2.1573,                0.98726,                0.84893,              0.0010496,              0.0010496,              0.0010496
                     50,                0.21383,                0.01478,                0.17882,                0.75887,                0.90636,                0.91991,                0.95983,                0.72772,                0.93367,                0.94966,                0.97164,                0.64075,                0.81148,                 2.1959,                0.50805,                0.84566,              0.0010298,              0.0010298,              0.0010298
                     51,                0.21237,                0.01434,                0.17418,                0.76251,                0.93736,                0.94966,                0.97885,                0.72422,                0.94413,                0.95652,                 0.9754,                0.63653,                0.77871,                 2.2788,                0.65238,                0.84123,                0.00101,                0.00101,                0.00101
                     52,                0.21445,                 0.0131,                0.17901,                0.76854,                0.91801,                0.97364,                0.97711,                0.72429,                0.92102,                0.97025,                0.97541,                0.63889,                0.76498,                 2.3743,                0.64209,                0.83385,              0.0009902,              0.0009902,              0.0009902
                     53,                0.20963,                0.01203,                0.17131,                0.76379,                0.91723,                0.95423,                0.97171,                 0.7249,                0.92948,                0.96518,                0.97058,                0.63975,                0.79332,                 2.1909,                0.63312,                0.84068,              0.0009704,              0.0009704,              0.0009704
                     54,                0.20162,                0.00955,                0.16481,                0.76296,                0.91254,                0.94966,                0.97213,                0.73382,                0.92408,                 0.9611,                 0.9736,                0.64456,                0.78001,                 2.3585,                0.99587,                0.83925,              0.0009506,              0.0009506,              0.0009506
                     55,                0.19492,                0.01912,                0.16167,                0.75775,                0.89903,                0.95763,                0.96817,                0.72868,                0.90654,                0.95446,                0.95737,                0.63342,                0.78328,                 2.1392,                0.76176,                0.83571,              0.0009308,              0.0009308,              0.0009308
                     56,                0.19218,                0.01066,                0.16075,                0.76694,                0.91226,                0.95195,                0.96397,                0.72849,                0.92715,                0.96105,                0.97008,                0.63526,                 0.7858,                 2.2607,                0.64537,                 0.8422,               0.000911,               0.000911,               0.000911
                     57,                0.18314,                0.00486,                0.15453,                0.76487,                0.90031,                0.95881,                0.96309,                0.71711,                0.90192,                0.94966,                0.97197,                0.63341,                0.79076,                 2.4142,                0.74907,                0.83867,              0.0008912,              0.0008912,              0.0008912
                     58,                0.18994,                0.01019,                0.15912,                0.76586,                0.92171,                0.95881,                0.96559,                0.72788,                0.92611,                0.96339,                0.97042,                 0.6364,                0.79456,                 2.3996,                0.82185,                0.84444,              0.0008714,              0.0008714,              0.0008714
                     59,                0.18231,                0.00619,                0.15399,                0.76481,                0.92359,                0.96568,                0.97052,                0.72369,                 0.9296,                0.96698,                0.97305,                0.63722,                0.77891,                 2.4051,                 3.2685,                0.83629,              0.0008516,              0.0008516,              0.0008516
                     60,                0.18006,                0.00462,                0.15214,                0.77496,                0.90096,                 0.9611,                0.96418,                0.71649,                0.92178,                0.97081,                0.97066,                0.63884,                0.78603,                 2.5154,                 1.0358,                0.84142,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.1789,                0.00406,                0.15253,                 0.7604,                0.93722,                0.95881,                  0.982,                0.72791,                0.93726,                0.95715,                0.97834,                0.63844,                0.76959,                  2.519,                 1.6343,                0.83858,               0.000812,               0.000812,               0.000812
                     62,                0.16253,                0.00746,                0.13908,                0.75736,                0.92341,                 0.9405,                0.97004,                0.72373,                0.93478,                0.95112,                 0.9733,                0.63508,                0.80004,                 2.5909,                0.67601,                0.84971,              0.0007922,              0.0007922,              0.0007922
                     63,                0.16409,                0.01197,                0.14016,                0.76193,                 0.9244,                0.95138,                0.97286,                0.73075,                0.92875,                0.95453,                0.97374,                0.64566,                0.77593,                 2.0978,                0.68028,                 0.8365,              0.0007724,              0.0007724,              0.0007724
